organisation_code,name,address1,address2,address3,city,county,postcode,opendate,closedate,telephone,practice_type
S10002,MUIRHEAD MEDICAL CENTRE,LIFF ROAD,MUIRHEAD,,DUNDEE,ANGUS,DD2 5NH,19950501,,01382 580264,4
S10017,THE BLUE PRACTICE,CRIEFF MEDICAL CENTRE,KING STREET,,CRIEFF,PERTHSHIRE,PH7 3SA,19960406,,01764 652283,4
S10036,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,TAYBRIDGE ROAD,,,ABERFELDY,PERTHSHIRE,PH15 2BL,20080401,,01887 820366,4
S10060,ABERFELDY HEALTH CENTRE,TAYBRIDGE ROAD,,,ABERFELDY,PERTHSHIRE,PH15 2BH,19750401,20080331,01887 820366,4
S10106,GROVE HEALTH CENTRE,129 DUNDEE ROAD,BROUGHTY FERRY,,DUNDEE,ANGUS,DD5 1DU,19960708,,01382 778881,4
S10125,ALYTH HEALTH CENTRE,NEW ALYTH ROAD,ALYTH,,BLAIRGOWRIE,PERTHSHIRE,PH11 8EQ,19791001,,01828 632317,4
S10182,ARBROATH MEDICAL CENTRE,7 HILL PLACE,,,ARBROATH,ANGUS,DD11 1AD,19771001,,01241 431144,4
S10233,ABBEY HEALTH CENTRE,EAST ABBEY STREET,,,ARBROATH,ANGUS,DD11 1EN,19860801,,01241 872692,4
S10286,"EAST PRACTICE,SPRINGFIELD MEDICAL CENTRE",30 PONDERLAW STREET,,,ARBROATH,ANGUS,DD11 1ES,19750801,,01241 870311,4
S10322,"WEST PRACTICE,SPRINGFIELD MEDICAL CENTRE",30 PONDERLAW STREET,,,ARBROATH,ANGUS,DD11 1ES,19711001,,01241 870307,4
S10361,ST MARGARET'S HEALTH CENTRE,ST MARGARETS DRIVE,,,AUCHTERARDER,PERTHSHIRE,PH3 1JH,19800903,,01764 662614,4
S10407,ARDBLAIR MEDICAL PRACTICE,ANN STREET,,,BLAIRGOWRIE,PERTHSHIRE,PH10 6EF,19740101,,01250 872033,4
S10445,STRATHMORE SURGERY,JESSIE STREET,,,BLAIRGOWRIE,PERTHSHIRE,PH10 6BT,19821001,,01250 872552,4
